company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Maxar Technologies,15241034,US10089528,MOVEMENT INTELLIGENCE USING SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2016-08-18,2016,2018-10-02,2018,G06V20/182|G06F16/5866|G06F16/29|G06F16/56|G06V10/25|G06V20/54|G06V10/62|G06V40/20,Computing / Software,1,,1,2016-08-18,2018-10-02,,Ken Campbell,0,0
Maxar Technologies,15228954,US10120884,CHOREOGRAPHING AUTOMATED AND MANUAL PROCESSES IN SUPPORT OF MOSAIC GENERATION,,grant,granted,"DIGITALGLOBE, INC.",US,2016-08-04,2016,2018-11-06,2018,G06F16/51|H04N23/698|G06T3/4038|G06T2207/10032|H04N1/3876|H04N1/6027|H04N5/77,Computing / Software,1,,1,2016-08-04,2018-11-06,,NATHAN SWANSON,0,0
Maxar Technologies,15204307,US9940514,AUTOMATED GEOSPATIAL IMAGE MOSAIC GENERATION WITH MULTIPLE ZOOM LEVEL SUPPORT,,grant,granted,"DigitalGlobe, Inc.",US,2016-07-07,2016,2018-04-10,2018,G06T3/4038|G06V20/194|G06V30/422|G06V10/30|G06V20/13|G06T11/60|G09B29/102|G09B29/106,Computing / Software,1,,1,2016-07-07,2018-04-10,,Kumar Navalur,0,0
Maxar Technologies,15194541,US9767565,SYNTHESIZING TRAINING DATA FOR BROAD AREA GEOSPATIAL OBJECT DETECTION,,grant,granted,"DigitalGlobe, Inc.",US,2016-06-27,2016,2017-09-19,2017,G06V10/774|G06T7/73|G06T7/75|G06T7/90|G06V20/176|G06F18/24|G06F18/214|G06N3/045,Computing / Software,6,,1,2016-06-27,2017-09-19,,Adam Estrada; Christopher Burd; Andrew Jenkins; Joseph Newbrough; Scott Szoko; Melanie Vinton,0,0
Maxar Technologies,15186171,US9990705,ATMOSPHERIC COMPENSATION IN SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2016-06-17,2016,2018-06-05,2018,G06T5/20|G06T7/514|G06T2207/10032|G06T2207/10036|G06T2207/10041|G06T2207/30181,Computing / Software,1,,1,2016-06-17,2018-06-05,,Fabio Pacifici,0,0
Maxar Technologies,15093040,US9767361,BATHYMETRIC TECHNIQUES USING SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2016-04-07,2016,2017-09-19,2017,G01C13/008|G06T7/50|Y02A90/30|G01F23/80|G01F23/292|G01S11/12|G06T11/60|G06T2207/10028,Computing / Software,2,,1,2016-04-07,2017-09-19,,GRZEGORZ MIECZNIK; BRETT W. BADER,0,0
Maxar Technologies,15077886,US10176194,ENHANCED CROWDSOURCED SEARCH AND LOCATE PLATFORM,,grant,granted,"DigitalGlobe, Inc.",US,2016-03-22,2016,2019-01-08,2019,G06F16/387|G06F16/5866|G06F16/29|G06F16/50|G06Q10/101|G06Q10/103|G06Q50/01,Computing / Software,3,,1,2016-03-22,2019-01-08,,Shay Har-Noy; Luke Barrington; Nathan Ricklin,0,0
Maxar Technologies,15064609,US9619710,AUTOMATED REMOTE CAR COUNTING,,grant,granted,"DigitalGlobe, Inc.",US,2016-03-09,2016,2017-04-11,2017,G06V20/176|G06T7/70|G06F16/583|G06F16/51|G06T2207/10016|G06T2207/10032|G06T2207/20092|G06T2207/20224,Computing / Software,1,,1,2016-03-09,2017-04-11,,Mark Tabb,0,0
Maxar Technologies,15040780,US9916640,AUTOMATED SLIVER REMOVAL IN ORTHOMOSAIC GENERATION,,grant,granted,"DIGITALGLOBE, INC.",US,2016-02-10,2016,2018-03-13,2018,G06T3/4038|G06T2200/32|G06T2207/10032|G06T2207/30181,Computing / Software,1,,1,2016-02-10,2018-03-13,,NATHAN SWANSON,0,0
Maxar Technologies,14993074,US10223828,AUTOMATED REGISTRATION OF THREE-DIMENSIONAL VECTORS TO THREE-DIMENSIONAL LINEAR FEATURES IN REMOTELY-SENSED DATA,,grant,granted,"DigitalGlobe, Inc.",US,2016-01-11,2016,2019-03-05,2019,G06T17/05|G01C11/04|G01C21/34|G06F3/04815,Computing / Software,2,,1,2016-01-11,2019-03-05,,Jacek Grodecki; Josh Nolting,0,0
